freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,values
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,ES,2023,1.21
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,ES,2024,1.6
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,ES,2025,3.74
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,PT,2021,1.49
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,PT,2023,1.84
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,PT,2024,3.07
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,ES,2021,0.95
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,ES,2023,1.15
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,ES,2024,1.49
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,ES,2025,3.26
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,PT,2021,1.42
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,PT,2023,1.79
A,0-9,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,PT,2024,2.93
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT,ES,2021,0.42
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT,ES,2023,0.5
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT,ES,2024,0.81
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT,ES,2025,1.36
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT,PT,2021,0.79
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT,PT,2023,1.02
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT,PT,2024,2.16
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_EC,ES,2021,26
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_EC,ES,2023,26.54
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_EC,ES,2024,28.18
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_EC,ES,2025,28.99
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_EC,PT,2021,35.7
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_EC,PT,2023,34.81
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_EC,PT,2024,40.77
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_TX,ES,2021,0.54
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_TX,ES,2023,0.63
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_TX,ES,2024,1.07
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_TX,ES,2025,1.97
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_TX,PT,2021,0.97
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_TX,PT,2023,1.2
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_TX,PT,2024,2.61
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_IUSE,ES,2021,0.51
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_IUSE,ES,2023,0.6
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_IUSE,ES,2024,1
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_IUSE,ES,2025,1.72
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_IUSE,PT,2021,0.93
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_IUSE,PT,2023,1.16
A,0-9,C10-S951_X_K,E_AI_BEC,PC_ENT_IUSE,PT,2024,2.49
A,0-9,C10-S951_X_K,E_AI_BIAS,PC_ENT,ES,2024,0.05
A,0-9,C10-S951_X_K,E_AI_BIAS,PC_ENT,PT,2024,0.08
A,0-9,C10-S951_X_K,E_AI_BIAS,PC_ENT_AI_PDI,ES,2024,46.29
A,0-9,C10-S951_X_K,E_AI_BIAS,PC_ENT_AI_PDI,PT,2024,64.48
A,0-9,C10-S951_X_K,E_AI_BIAS,PC_ENT_AI_TANY,ES,2024,0.88
A,0-9,C10-S951_X_K,E_AI_BIAS,PC_ENT_AI_TANY,PT,2024,2.1
A,0-9,C10-S951_X_K,E_AI_BIAS_ADOWN,PC_ENT,ES,2024,0.01
A,0-9,C10-S951_X_K,E_AI_BIAS_ADOWN,PC_ENT,PT,2024,0.04
